Country	Austria	Belgium	Bulgaria	Croatia	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	EU + EFTA	EU-152	EU-113
01/01/2014	23990	49584	1385	2080	13638	16255	1622	12699	125454	205996	6385	4373	22891	118464	966	1176	3415	44369	28877	9261	5118	5455	4690	53436	18673	154562	934814	538	11385	20374	32297	897731	967111	865434	69380
01/02/2014	27589	46140	1579	2185	12779	14726	1424	8177	141290	209349	4356	4957	12711	118976	903	1044	4123	33300	32288	10547	3650	5385	4102	68763	21525	68736	860604	494	11246	21873	33613	823921	894217	790308	70296
01/03/2014	29702	52808	1862	3064	16576	16771	1699	9623	179865	296408	5866	6163	14297	140189	981	1136	4773	29366	35327	14152	4577	6015	5193	79928	27605	464824	1448770	535	13861	26296	40692	1406869	1489462	1366177	82593
01/04/2014	29240	53319	1937	4665	17498	16471	2043	9315	166959	274097	5444	5516	7822	119850	1067	1417	5220	28282	27611	12314	4932	5989	4963	80174	27543	176820	1090508	683	12115	27541	40339	1053209	1130847	1012870	77638
01/05/2014	26986	42955	1849	4870	15396	16831	1987	10107	148951	274804	7459	5739	6272	132312	1121	1340	5198	30944	24231	13782	6001	6260	4802	82483	27652	194032	1094364	2156	12337	25772	40265	1061033	1134629	1020768	73596
01/06/2014	29100	43018	2144	4269	18171	17533	1894	9215	196233	277614	7964	6255	1684	128272	1122	1223	4416	32700	25305	15735	6947	6891	4892	90159	28749	228291	1189796	1965	11441	27715	41121	1151804	1230917	1110683	79113
01/07/2014	24772	35275	1796	3060	17700	14239	1942	8025	143759	270249	7627	6129	18711	114793	1178	1448	4476	29763	25523	14169	8368	6656	4666	83365	20473	172907	1041069	742	11690	27267	39699	1002302	1080768	962603	78466
01/08/2014	21121	28613	1588	1573	13937	14578	1639	7528	83715	213092	3693	4769	4865	53505	921	964	2944	25523	19983	7741	6410	5249	3352	45355	24274	72163	669095	493	11444	19665	31602	640312	700697	608710	60385
01/09/2014	24863	36383	1632	1994	15775	14373	1832	8410	151089	260062	5055	5480	3900	111027	980	1280	3582	29807	23546	9707	5561	5367	4464	57010	26142	425861	1235182	552	11585	21630	33767	1201038	1268949	1167271	67911
01/10/2014	26945	38115	1755	2496	17791	16307	2083	8842	160149	275320	6003	6115	2013	122445	1207	1251	4522	35112	28804	11795	7344	7282	5182	76073	28252	179714	1072917	547	12963	26209	39719	1031326	1112636	991607	81310
01/11/2014	21619	29739	1654	1973	16365	15126	1981	7227	135067	250082	4983	5901	771	108546	1006	1159	3488	32192	24387	11719	5669	5484	4261	65122	25916	172327	953764	412	11486	23471	35369	919293	989133	883924	69840
01/12/2014	17391	26990	2005	1733	16688	15402	989	7091	163354	229700	6387	6079	347	92199	1000	1023	3636	36214	29489	11904	5595	6219	3392	73440	27144	166198	951609	403	12649	32297	45349	922746	996958	877397	74212
