Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2003	25016	50156	6693	14036	175107	237778	29858	32653	210582	3177	68883	14951	90541	19162	186769	1165362	639	6976	19677	27292	1192654	9094	1229	11986	548	475	28197	3527	4476	59532	1224894	1252186
01/02/2003	20110	43513	6870	11048	159385	230417	20119	19574	212567	4669	38727	15098	98254	19261	88096	987708	657	6544	18286	25487	1013195	10776	984	15833	512	456	25443	4383	4974	63361	1051069	1076556
01/03/2003	30052	48077	7951	11908	187159	318659	20176	17827	272215	5179	44725	17721	120753	25190	438075	1565667	688	6940	23582	31210	1596877	14437	1240	19399	668	469	27945	5098	5453	74709	1640376	1671586
01/04/2003	31939	43326	7754	12970	180784	287350	23779	15678	183784	5261	39652	17064	120406	23664	194312	1187723	748	7024	26641	34413	1222136	13640	1493	17648	633	701	31328	5191	5960	76594	1264317	1298730
01/05/2003	28503	37112	8940	14785	161779	304953	22736	14839	184855	4013	45339	16861	120649	25606	200059	1191029	1198	8164	26014	35376	1226405	14501	1493	18317	889	747	30985	5081	5667	77680	1268709	1304085
01/06/2003	27315	39839	8992	14691	204946	299174	24552	11209	190136	3415	50363	17970	138243	24560	240174	1295579	1400	7725	28320	37445	1333024	15112	1329	18450	781	594	29904	4976	6058	77204	1372783	1410228
01/07/2003	27970	35115	8083	13509	187287	288084	25938	13209	219442	3735	40723	20340	161545	18168	196762	1259910	1103	8692	25331	35126	1295036	13101	1444	18073	813	775	29460	5428	5322	74416	1334326	1369452
01/08/2003	20337	28817	7160	12663	103055	228001	18586	6819	89732	2427	36377	11955	82407	17585	89338	755259	681	6818	18575	26074	781333	10970	1177	16670	714	585	24041	4236	3652	62045	817304	843378
01/09/2003	24459	34234	7922	11371	155410	285208	15385	5957	181015	2953	42484	13170	92528	21879	439365	1333340	766	7658	20582	29006	1362346	13134	1357	16492	731	538	30704	4169	4352	71477	1404817	1433823
01/10/2003	26412	42291	8030	13004	184643	269124	23499	4899	190100	3757	38132	13828	120823	24889	181589	1145020	804	9072	22736	32612	1177632	13425	1486	18842	830	764	32084	5824	4463	77718	1222738	1255350
01/11/2003	21151	30059	8258	10380	149236	256205	17834	1779	170131	2768	32035	14709	109711	20258	169059	1013573	692	8030	20898	29620	1043193	12192	1248	18713	699	683	30669	5497	4378	74079	1087652	1117272
01/12/2003	16857	26257	9425	6857	160455	231985	14831	780	142460	2266	11401	16125	126249	20984	155452	942384	509	6278	19667	26454	968838	12599	1122	18003	895	756	37672	6332	4793	82172	1024556	1051010
