LOCATION	Country	TIME	ST	LT
AUT	Austria	2012-02	1.0483	3
AUT	Austria	2012-03	0.8585	2.87
AUT	Austria	2012-04	0.7443	2.83
AUT	Austria	2012-05	0.6849	2.49
AUT	Austria	2012-06	0.6589	2.29
AUT	Austria	2012-07	0.497	2.07
AUT	Austria	2012-08	0.3324	1.97
AUT	Austria	2012-09	0.2463	2.04
AUT	Austria	2012-10	0.2079	2.02
AUT	Austria	2012-11	0.192	1.85
AUT	Austria	2012-12	0.1855	1.77
AUT	Austria	2013-01	0.2049	1.92
AUT	Austria	2013-02	0.2234	1.96
AUT	Austria	2013-03	0.2061	1.75
AUT	Austria	2013-04	0.2089	1.64
AUT	Austria	2013-05	0.2012	1.75
AUT	Austria	2013-06	0.2103	2.04
AUT	Austria	2013-07	0.2214	2.06
AUT	Austria	2013-08	0.2259	2.22
AUT	Austria	2013-09	0.2232	2.34
AUT	Austria	2013-10	0.2258	2.19
AUT	Austria	2013-11	0.2234	2.08
AUT	Austria	2013-12	0.2735	2.17
AUT	Austria	2014-01	0.292	2.13
AUT	Austria	2014-02	0.2881	1.95
AUT	Austria	2014-03	0.3053	1.87
AUT	Austria	2014-04	0.3297	1.77
AUT	Austria	2014-05	0.3246	1.62
AUT	Austria	2014-06	0.2414	1.65
AUT	Austria	2014-07	0.205	1.47
AUT	Austria	2014-08	0.1916	1.28
AUT	Austria	2014-09	0.0971	1.22
AUT	Austria	2014-10	0.0826	1.1
AUT	Austria	2014-11	0.0809	0.98
AUT	Austria	2014-12	0.0809	0.81
AUT	Austria	2015-01	0.0627	0.54
AUT	Austria	2015-02	0.0482	0.44
AUT	Austria	2015-03	0.0272	0.37
AUT	Austria	2015-04	0.0047	0.29
AUT	Austria	2015-05	-0.0104	0.72547
AUT	Austria	2015-06	-0.0139	1.06382
AUT	Austria	2015-07	-0.0187	1.08413
AUT	Austria	2015-08	-0.0277	0.95981
AUT	Austria	2015-09	-0.037	0.97064
AUT	Austria	2015-10	-0.0536	0.82973
AUT	Austria	2015-11	-0.0876	0.81938
AUT	Austria	2015-12	-0.1263	0.86324
AUT	Austria	2016-01	-0.1461	0.76721
AUT	Austria	2016-02	-0.1836	0.52601
AUT	Austria	2016-03	-0.2285	0.45724
AUT	Austria	2016-04	-0.2492	0.37961
AUT	Austria	2016-05	-0.2572	0.36661
AUT	Austria	2016-06	-0.2679	0.32766
AUT	Austria	2016-07	-0.2945	0.15833
AUT	Austria	2016-08	-0.2982	0.10683
AUT	Austria	2016-09	-0.3016	0.14841
AUT	Austria	2016-10	-0.309	0.24071
AUT	Austria	2016-11	-0.3127	0.49164
AUT	Austria	2016-12	-0.3158	0.53445
AUT	Austria	2017-01	-0.3255	0.57045
AUT	Austria	2017-02	-0.3286	0.58985
AUT	Austria	2017-03	-0.3293	0.59235
AUT	Austria	2017-04	-0.3304	0.4903
AUT	Austria	2017-05	-0.3295	0.6517
AUT	Austria	2017-06	-0.33	0.55468
AUT	Austria	2017-07	-0.3304	0.72924
AUT	Austria	2017-08	-0.3291	0.60617
AUT	Austria	2017-09	-0.3294	0.5911
AUT	Austria	2017-10	-0.3295	0.60618
AUT	Austria	2017-11	-0.329	0.51445
AUT	Austria	2017-12	-0.3279	0.50271
BEL	Belgium	2000-01	3.3431	5.79
BEL	Belgium	2000-02	3.5368	5.79
BEL	Belgium	2000-03	3.747	5.62
BEL	Belgium	2000-04	3.9253	5.52
BEL	Belgium	2000-05	4.362	5.69
BEL	Belgium	2000-06	4.5017	5.53
BEL	Belgium	2000-07	4.5829	5.6
BEL	Belgium	2000-08	4.7771	5.56
BEL	Belgium	2000-09	4.8528	5.63
BEL	Belgium	2000-10	5.0413	5.58
BEL	Belgium	2000-11	5.092	5.52
BEL	Belgium	2000-12	4.9392	5.28
BEL	Belgium	2001-01	4.7707	5.16
BEL	Belgium	2001-02	4.7558	5.16
BEL	Belgium	2001-03	4.7086	5.08
BEL	Belgium	2001-04	4.682	5.21
BEL	Belgium	2001-05	4.6367	5.38
BEL	Belgium	2001-06	4.4536	5.33
BEL	Belgium	2001-07	4.4671	5.35
BEL	Belgium	2001-08	4.3535	5.15
BEL	Belgium	2001-09	3.9829	5.14
BEL	Belgium	2001-10	3.5999	4.89
BEL	Belgium	2001-11	3.3857	4.75
BEL	Belgium	2001-12	3.3449	4.97
BEL	Belgium	2002-01	3.3388	5.08
BEL	Belgium	2002-02	3.3571	5.15
BEL	Belgium	2002-03	3.3908	5.37
BEL	Belgium	2002-04	3.4069	5.37
BEL	Belgium	2002-05	3.4671	5.38
BEL	Belgium	2002-06	3.464	5.24
BEL	Belgium	2002-07	3.41	5.09
BEL	Belgium	2002-08	3.3519	4.8
BEL	Belgium	2002-09	3.3101	4.6
BEL	Belgium	2002-10	3.2613	4.66
BEL	Belgium	2002-11	3.1241	4.64
BEL	Belgium	2002-12	2.941	4.46
BEL	Belgium	2003-01	2.8318	4.28
BEL	Belgium	2003-02	2.6875	4.11
BEL	Belgium	2003-03	2.53	4.15
BEL	Belgium	2003-04	2.5333	4.29
BEL	Belgium	2003-05	2.4005	3.95
BEL	Belgium	2003-06	2.1519	3.74
BEL	Belgium	2003-07	2.13	4.06
BEL	Belgium	2003-08	2.1404	4.22
BEL	Belgium	2003-09	2.1473	4.25
BEL	Belgium	2003-10	2.1436	4.31
BEL	Belgium	2003-11	2.159	4.43
BEL	Belgium	2003-12	2.1463	4.38
BEL	Belgium	2004-01	2.0895	4.26
BEL	Belgium	2004-02	2.0706	4.26
BEL	Belgium	2004-03	2.0288	4.07
BEL	Belgium	2004-04	2.0488	4.26
BEL	Belgium	2004-05	2.0859	4.4
BEL	Belgium	2004-06	2.1127	4.46
BEL	Belgium	2004-07	2.116	4.34
BEL	Belgium	2004-08	2.1143	4.18
BEL	Belgium	2004-09	2.1186	4.11
BEL	Belgium	2004-10	2.1473	3.98
BEL	Belgium	2004-11	2.1703	3.85
BEL	Belgium	2004-12	2.1732	3.66
BEL	Belgium	2005-01	2.1454	3.59
BEL	Belgium	2005-02	2.1384	3.57
BEL	Belgium	2005-03	2.1372	3.76
BEL	Belgium	2005-04	2.1372	3.6
BEL	Belgium	2005-05	2.1256	3.43
BEL	Belgium	2005-06	2.111	3.26
BEL	Belgium	2005-07	2.1194	3.3
BEL	Belgium	2005-08	2.1325	3.31
BEL	Belgium	2005-09	2.1391	3.14
BEL	Belgium	2005-10	2.1966	3.3
BEL	Belgium	2005-11	2.3609	3.49
BEL	Belgium	2005-12	2.4729	3.39
BEL	Belgium	2006-01	2.5117	3.37
BEL	Belgium	2006-02	2.6004	3.54
BEL	Belgium	2006-03	2.7226	3.7
BEL	Belgium	2006-04	2.7938	3.96
BEL	Belgium	2006-05	2.889	4.03
BEL	Belgium	2006-06	2.9857	4.02
BEL	Belgium	2006-07	3.1022	4.04
BEL	Belgium	2006-08	3.2265	3.92
BEL	Belgium	2006-09	3.3354	3.79
BEL	Belgium	2006-10	3.502	3.83
BEL	Belgium	2006-11	3.5972	3.76
BEL	Belgium	2006-12	3.6842	3.82
BEL	Belgium	2007-01	3.7519	4.06
BEL	Belgium	2007-02	3.8182	4.11
BEL	Belgium	2007-03	3.8909	4.01
BEL	Belgium	2007-04	3.9753	4.22
BEL	Belgium	2007-05	4.0714	4.34
BEL	Belgium	2007-06	4.1478	4.64
BEL	Belgium	2007-07	4.2162	4.62
BEL	Belgium	2007-08	4.5436	4.44
BEL	Belgium	2007-09	4.7417	4.39
BEL	Belgium	2007-10	4.6874	4.42
BEL	Belgium	2007-11	4.6385	4.28
BEL	Belgium	2007-12	4.8484	4.41
BEL	Belgium	2008-01	4.4815	4.25
BEL	Belgium	2008-02	4.3621	4.23
BEL	Belgium	2008-03	4.5964	4.23
BEL	Belgium	2008-04	4.7835	4.37
BEL	Belgium	2008-05	4.8574	4.51
BEL	Belgium	2008-06	4.9405	4.84
BEL	Belgium	2008-07	4.961	4.85
BEL	Belgium	2008-08	4.9652	4.58
BEL	Belgium	2008-09	5.0192	4.56
BEL	Belgium	2008-10	5.1131	4.46
BEL	Belgium	2008-11	4.2383	4.26
BEL	Belgium	2008-12	3.2926	3.87
BEL	Belgium	2009-01	2.4565	4.13
BEL	Belgium	2009-02	1.9431	4.24
BEL	Belgium	2009-03	1.6355	4.03
BEL	Belgium	2009-04	1.4223	3.93
BEL	Belgium	2009-05	1.2817	4.03
BEL	Belgium	2009-06	1.2279	4.12
BEL	Belgium	2009-07	0.975	3.92
BEL	Belgium	2009-08	0.8605	3.77
BEL	Belgium	2009-09	0.7721	3.72
BEL	Belgium	2009-10	0.7375	3.68
BEL	Belgium	2009-11	0.7162	3.64
BEL	Belgium	2009-12	0.712	3.61
BEL	Belgium	2010-01	0.6798	3.75
BEL	Belgium	2010-02	0.6617	3.73
BEL	Belgium	2010-03	0.645	3.63
BEL	Belgium	2010-04	0.6447	3.54
BEL	Belgium	2010-05	0.6865	3.31
BEL	Belgium	2010-06	0.7276	3.47
BEL	Belgium	2010-07	0.8488	3.29
BEL	Belgium	2010-08	0.8955	3.03
BEL	Belgium	2010-09	0.8805	3.12
BEL	Belgium	2010-10	0.9977	3.21
BEL	Belgium	2010-11	1.042	3.48
BEL	Belgium	2010-12	1.0217	3.99
BEL	Belgium	2011-01	1.0172	4.14
BEL	Belgium	2011-02	1.0867	4.21
BEL	Belgium	2011-03	1.1755	4.21
BEL	Belgium	2011-04	1.3212	4.29
BEL	Belgium	2011-05	1.4251	4.21
BEL	Belgium	2011-06	1.4886	4.14
BEL	Belgium	2011-07	1.5976	4.22
BEL	Belgium	2011-08	1.5521	4.11
BEL	Belgium	2011-09	1.5365	3.88
BEL	Belgium	2011-10	1.5759	4.2
BEL	Belgium	2011-11	1.4847	4.84
BEL	Belgium	2011-12	1.4261	4.35
BEL	Belgium	2012-01	1.2222	4.11
BEL	Belgium	2012-02	1.0483	3.7
BEL	Belgium	2012-03	0.8585	3.53
BEL	Belgium	2012-04	0.7443	3.52
BEL	Belgium	2012-05	0.6849	3.3
BEL	Belgium	2012-06	0.6589	3.17
BEL	Belgium	2012-07	0.497	2.69
BEL	Belgium	2012-08	0.3324	2.54
BEL	Belgium	2012-09	0.2463	2.61
BEL	Belgium	2012-10	0.2079	2.44
BEL	Belgium	2012-11	0.192	2.29
BEL	Belgium	2012-12	0.1855	2.1
BEL	Belgium	2013-01	0.2049	2.31
BEL	Belgium	2013-02	0.2234	2.46
BEL	Belgium	2013-03	0.2061	2.25
BEL	Belgium	2013-04	0.2089	2.04
BEL	Belgium	2013-05	0.2012	2.06
BEL	Belgium	2013-06	0.2103	2.44
BEL	Belgium	2013-07	0.2214	2.54
BEL	Belgium	2013-08	0.2259	2.65
BEL	Belgium	2013-09	0.2232	2.75
BEL	Belgium	2013-10	0.2258	2.57
BEL	Belgium	2013-11	0.2234	2.42
BEL	Belgium	2013-12	0.2735	2.43
BEL	Belgium	2014-01	0.292	2.45
BEL	Belgium	2014-02	0.2881	2.4
BEL	Belgium	2014-03	0.3053	2.26
BEL	Belgium	2014-04	0.3297	2.16
BEL	Belgium	2014-05	0.3246	1.99
BEL	Belgium	2014-06	0.2414	1.83
BEL	Belgium	2014-07	0.205	1.61
BEL	Belgium	2014-08	0.1916	1.4
BEL	Belgium	2014-09	0.0971	1.3
BEL	Belgium	2014-10	0.0826	1.18
BEL	Belgium	2014-11	0.0809	1.07
BEL	Belgium	2014-12	0.0809	0.91
BEL	Belgium	2015-01	0.0627	0.73
BEL	Belgium	2015-02	0.0482	0.63
BEL	Belgium	2015-03	0.0272	0.49
BEL	Belgium	2015-04	0.0047	0.42
BEL	Belgium	2015-05	-0.0104	0.86
BEL	Belgium	2015-06	-0.0139	1.21
BEL	Belgium	2015-07	-0.0187	1.15
BEL	Belgium	2015-08	-0.0277	1
BEL	Belgium	2015-09	-0.037	1.01
BEL	Belgium	2015-10	-0.0536	0.85
BEL	Belgium	2015-11	-0.0876	0.84
BEL	Belgium	2015-12	-0.1263	0.89
BEL	Belgium	2016-01	-0.1461	0.86
BEL	Belgium	2016-02	-0.1836	0.72
BEL	Belgium	2016-03	-0.2285	0.62
BEL	Belgium	2016-04	-0.2492	0.55
BEL	Belgium	2016-05	-0.2572	0.55
BEL	Belgium	2016-06	-0.2679	0.43
BEL	Belgium	2016-07	-0.2945	0.2
BEL	Belgium	2016-08	-0.2982	0.15
BEL	Belgium	2016-09	-0.3016	0.18
BEL	Belgium	2016-10	-0.309	0.27
BEL	Belgium	2016-11	-0.3127	0.57
BEL	Belgium	2016-12	-0.3158	0.61
BEL	Belgium	2017-01	-0.3255	0.7
BEL	Belgium	2017-02	-0.3286	0.87
BEL	Belgium	2017-03	-0.3293	0.87
BEL	Belgium	2017-04	-0.3304	0.78
BEL	Belgium	2017-05	-0.3295	0.77
BEL	Belgium	2017-06	-0.33	0.62
BEL	Belgium	2017-07	-0.3304	0.83
BEL	Belgium	2017-08	-0.3291	0.73
BEL	Belgium	2017-09	-0.3294	0.7
BEL	Belgium	2017-10	-0.3295	0.69
BEL	Belgium	2017-11	-0.329	0.58
BEL	Belgium	2017-12	-0.3279	0.53
CZE	Czech.Republic	2000-01	5.42	
CZE	Czech.Republic	2000-02	5.39	
CZE	Czech.Republic	2000-03	5.35	
CZE	Czech.Republic	2000-04	5.33	6.34
CZE	Czech.Republic	2000-05	5.32	6.33
CZE	Czech.Republic	2000-06	5.33	6.55
CZE	Czech.Republic	2000-07	5.35	6.87
CZE	Czech.Republic	2000-08	5.34	6.99
CZE	Czech.Republic	2000-09	5.34	7
CZE	Czech.Republic	2000-10	5.39	7.36
CZE	Czech.Republic	2000-11	5.41	7.59
CZE	Czech.Republic	2000-12	5.42	7.38
CZE	Czech.Republic	2001-01	5.34	6.82
CZE	Czech.Republic	2001-02	5.27	6.5
CZE	Czech.Republic	2001-03	5.05	6.24
CZE	Czech.Republic	2001-04	5.01	6.25
CZE	Czech.Republic	2001-05	5.03	6.49
CZE	Czech.Republic	2001-06	5.09	6.72
CZE	Czech.Republic	2001-07	5.25	6.85
CZE	Czech.Republic	2001-08	5.57	6.76
CZE	Czech.Republic	2001-09	5.41	6.47
CZE	Czech.Republic	2001-10	5.29	5.84
CZE	Czech.Republic	2001-11	5.08	5.4
CZE	Czech.Republic	2001-12	4.69	5.43
CZE	Czech.Republic	2002-01	4.55	5.32
CZE	Czech.Republic	2002-02	4.3	5.31
CZE	Czech.Republic	2002-03	4.3	5.55
CZE	Czech.Republic	2002-04	4.21	5.42
CZE	Czech.Republic	2002-05	3.81	5.3
CZE	Czech.Republic	2002-06	3.78	5.13
CZE	Czech.Republic	2002-07	3.37	4.79
CZE	Czech.Republic	2002-08	3.06	4.57
CZE	Czech.Republic	2002-09	2.99	4.48
CZE	Czech.Republic	2002-10	2.82	4.29
CZE	Czech.Republic	2002-11	2.77	4.21
CZE	Czech.Republic	2002-12	2.63	4.15
CZE	Czech.Republic	2003-01	2.66	4.1
CZE	Czech.Republic	2003-02	2.45	3.81
CZE	Czech.Republic	2003-03	2.39	3.75
CZE	Czech.Republic	2003-04	2.45	3.92
CZE	Czech.Republic	2003-05	2.45	3.73
CZE	Czech.Republic	2003-06	2.33	3.49
CZE	Czech.Republic	2003-07	2.25	4.06
CZE	Czech.Republic	2003-08	2.06	4.23
CZE	Czech.Republic	2003-09	2.06	4.26
CZE	Czech.Republic	2003-10	2.06	4.47
CZE	Czech.Republic	2003-11	2.07	4.75
CZE	Czech.Republic	2003-12	2.08	4.82
CZE	Czech.Republic	2004-01	2.07	4.68
CZE	Czech.Republic	2004-02	2.06	4.85
CZE	Czech.Republic	2004-03	2.05	4.59
CZE	Czech.Republic	2004-04	2.06	4.68
CZE	Czech.Republic	2004-05	2.16	4.95
CZE	Czech.Republic	2004-06	2.33	5.09
CZE	Czech.Republic	2004-07	2.47	5.17
CZE	Czech.Republic	2004-08	2.57	5.09
CZE	Czech.Republic	2004-09	2.72	5.09
CZE	Czech.Republic	2004-10	2.67	4.89
CZE	Czech.Republic	2004-11	2.61	4.63
CZE	Czech.Republic	2004-12	2.57	4.14
CZE	Czech.Republic	2005-01	2.53	3.91
CZE	Czech.Republic	2005-02	2.25	3.62
CZE	Czech.Republic	2005-03	2.08	3.69
CZE	Czech.Republic	2005-04	2.03	3.7
CZE	Czech.Republic	2005-05	1.78	3.49
CZE	Czech.Republic	2005-06	1.75	3.31
CZE	Czech.Republic	2005-07	1.78	3.34
CZE	Czech.Republic	2005-08	1.79	3.36
CZE	Czech.Republic	2005-09	1.8	3.25
CZE	Czech.Republic	2005-10	1.91	3.45
CZE	Czech.Republic	2005-11	2.24	3.78
CZE	Czech.Republic	2005-12	2.17	3.61
CZE	Czech.Republic	2006-01	2.14	3.39
CZE	Czech.Republic	2006-02	2	3.43
CZE	Czech.Republic	2006-03	2.08	3.58
CZE	Czech.Republic	2006-04	2.11	3.85
CZE	Czech.Republic	2006-05	2.12	3.93
CZE	Czech.Republic	2006-06	2.16	4.04
CZE	Czech.Republic	2006-07	2.29	4.03
CZE	Czech.Republic	2006-08	2.36	3.87
CZE	Czech.Republic	2006-09	2.49	3.92
CZE	Czech.Republic	2006-10	2.65	3.92
CZE	Czech.Republic	2006-11	2.64	3.87
CZE	Czech.Republic	2006-12	2.56	3.77
CZE	Czech.Republic	2007-01	2.58	3.94
CZE	Czech.Republic	2007-02	2.59	3.89
CZE	Czech.Republic	2007-03	2.56	3.87
CZE	Czech.Republic	2007-04	2.6	4.01
CZE	Czech.Republic	2007-05	2.77	4.13
CZE	Czech.Republic	2007-06	2.93	4.47
CZE	Czech.Republic	2007-07	3.07	4.54
CZE	Czech.Republic	2007-08	3.28	4.45
CZE	Czech.Republic	2007-09	3.46	4.57
CZE	Czech.Republic	2007-10	3.55	4.53
CZE	Czech.Republic	2007-11	3.73	4.55
CZE	Czech.Republic	2007-12	4.05	4.68
CZE	Czech.Republic	2008-01	3.96	4.56
CZE	Czech.Republic	2008-02	3.94	4.53
CZE	Czech.Republic	2008-03	4.04	4.68
CZE	Czech.Republic	2008-04	4.11	4.72
CZE	Czech.Republic	2008-05	4.14	4.84
CZE	Czech.Republic	2008-06	4.21	5.13
CZE	Czech.Republic	2008-07	4.11	4.9
CZE	Czech.Republic	2008-08	3.81	4.47
CZE	Czech.Republic	2008-09	3.81	4.42
CZE	Czech.Republic	2008-10	4.19	4.53
CZE	Czech.Republic	2008-11	4.24	4.52
CZE	Czech.Republic	2008-12	3.89	4.3
CZE	Czech.Republic	2009-01	3.14	4.21
CZE	Czech.Republic	2009-02	2.5	4.74
CZE	Czech.Republic	2009-03	2.49	5.16
CZE	Czech.Republic	2009-04	2.5	5.25
CZE	Czech.Republic	2009-05	2.3	5.06
CZE	Czech.Republic	2009-06	2.17	5.45
CZE	Czech.Republic	2009-07	2.09	5.41
CZE	Czech.Republic	2009-08	1.92	5.09
CZE	Czech.Republic	2009-09	1.88	5.01
CZE	Czech.Republic	2009-10	1.87	4.5
CZE	Czech.Republic	2009-11	1.8	4.19
CZE	Czech.Republic	2009-12	1.64	3.98
CZE	Czech.Republic	2010-01	1.55	4.28
CZE	Czech.Republic	2010-02	1.52	4.33
CZE	Czech.Republic	2010-03	1.43	4.02
CZE	Czech.Republic	2010-04	1.42	3.84
CZE	Czech.Republic	2010-05	1.27	4.1
CZE	Czech.Republic	2010-06	1.24	4.26
CZE	Czech.Republic	2010-07	1.23	3.97
CZE	Czech.Republic	2010-08	1.24	3.56
CZE	Czech.Republic	2010-09	1.22	3.34
CZE	Czech.Republic	2010-10	1.2	3.43
CZE	Czech.Republic	2010-11	1.22	3.59
CZE	Czech.Republic	2010-12	1.22	3.89
CZE	Czech.Republic	2011-01	1.2	3.98
CZE	Czech.Republic	2011-02	1.21	4.05
CZE	Czech.Republic	2011-03	1.21	4.05
CZE	Czech.Republic	2011-04	1.21	4.05
CZE	Czech.Republic	2011-05	1.22	3.89
CZE	Czech.Republic	2011-06	1.2	3.77
CZE	Czech.Republic	2011-07	1.19	3.79
CZE	Czech.Republic	2011-08	1.19	3.4
CZE	Czech.Republic	2011-09	1.17	3
CZE	Czech.Republic	2011-10	1.17	3.14
CZE	Czech.Republic	2011-11	1.15	3.67
CZE	Czech.Republic	2011-12	1.16	3.7
CZE	Czech.Republic	2012-01	1.17	3.39
CZE	Czech.Republic	2012-02	1.2	3.12
CZE	Czech.Republic	2012-03	1.23	3.51
CZE	Czech.Republic	2012-04	1.24	3.51
CZE	Czech.Republic	2012-05	1.24	3.31
CZE	Czech.Republic	2012-06	1.21	3.11
CZE	Czech.Republic	2012-07	1.06	2.6
CZE	Czech.Republic	2012-08	1	2.38
CZE	Czech.Republic	2012-09	0.87	2.37
CZE	Czech.Republic	2012-10	0.71	2.24
CZE	Czech.Republic	2012-11	0.54	1.92
CZE	Czech.Republic	2012-12	0.5	1.92
CZE	Czech.Republic	2013-01	0.5	1.96
CZE	Czech.Republic	2013-02	0.5	2.01
CZE	Czech.Republic	2013-03	0.49	1.98
CZE	Czech.Republic	2013-04	0.47	1.82
CZE	Czech.Republic	2013-05	0.46	1.67
CZE	Czech.Republic	2013-06	0.46	2.14
CZE	Czech.Republic	2013-07	0.46	2.23
CZE	Czech.Republic	2013-08	0.46	2.4
CZE	Czech.Republic	2013-09	0.45	2.42
CZE	Czech.Republic	2013-10	0.45	2.33
CZE	Czech.Republic	2013-11	0.4	2.18
CZE	Czech.Republic	2013-12	0.38	2.2
