Country	Austria	Belgium	Bulgaria	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	EU-152	EU-103	Iceland	Norway	Switzerland	EFTA	EU + EFTA	EU15 + EFTA
01/01/2010	20882	49376	956	10830	10658	759	11911	171478	181189	26585	2781	16382	207267	269	439	3536	62761	25371	14558	3791	2917	5217	70130	15523	145479	1061045	1007715	53330	88	9697	18908	28693	1089738	1036408
01/02/2010	21786	47584	1013	11106	8590	562	7195	180535	194846	13728	3041	12098	201638	329	435	4081	37566	24398	15358	4212	3476	4914	91281	17972	68686	976430	922944	53486	77	9094	18571	27742	1004172	950686
01/03/2010	33270	64330	1188	17473	13935	864	8698	242707	294374	19053	4392	13650	259115	466	501	5806	44751	29348	23836	9923	5397	6040	124756	25652	397383	1646908	1571316	75592	156	11486	28450	40092	1687000	1611408
01/04/2010	31723	57309	1113	15283	11943	861	10089	190917	259414	12448	3662	8469	160919	458	581	5941	37543	25314	16219	10376	4836	5626	93637	25668	148793	1139142	1071032	68110	79	10677	25722	36478	1175620	1107510
01/05/2010	29057	47725	1256	15920	12958	911	10312	186268	249708	11928	3402	8594	164704	481	658	5158	36827	25648	19250	10758	4930	5739	102874	24994	153095	1133155	1063452	69703	390	9896	24809	35095	1168250	1098547
01/06/2010	32957	53872	1326	18571	15526	896	11817	240531	289259	14790	4259	8404	171753	631	663	5155	50681	28226	26029	13892	6154	5913	121484	28270	195226	1346285	1265754	80531	1135	11119	31602	43856	1390141	1309610
01/07/2010	28977	39309	1457	11410	11659	891	6965	169944	237428	11539	4362	6311	153886	614	709	4434	38487	24488	20299	8336	5591	5329	82169	20375	136446	1031415	968228	63187	435	11507	25355	37297	1068712	1005525
01/08/2010	24693	37540	1371	12112	11751	795	8281	105166	200885	7167	3000	5036	69262	555	617	2538	36522	22625	11932	7048	5206	4338	44578	22376	55305	700699	643032	57667	102	10414	19895	30411	731110	673443
01/09/2010	28115	36945	1168	13296	13533	969	9299	169944	259748	5994	3554	4288	155231	531	724	3297	45544	27902	13918	9811	5230	4825	56282	25912	335246	1231306	1163296	68010	110	11137	22101	33348	1264654	1196644
01/10/2010	28713	43570	1333	13166	13600	1067	9166	171950	256775	7807	3644	3259	140418	577	943	3832	43572	30362	15341	10430	6121	4894	61367	26420	131495	1029822	957285	72537	125	10683	24422	35230	1065052	992515
01/11/2010	28024	40537	1508	15258	13962	956	7767	193913	262262	6771	3477	1521	146088	650	843	3445	36920	33918	18606	10990	6442	4756	64515	26752	139875	1069756	990958	78798	184	11908	24819	36911	1106667	1027869
01/12/2010	20366	29243	1957	15155	15472	764	5846	228316	230371	3691	3902	434	131298	804	857	2503	11393	35890	28118	6761	7733	3551	68942	29770	123817	1006954	929580	77374	225	10136	27799	38160	1045114	967740
