Country	Austria	Belgium	Bulgaria	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	EU-152	EU-103	Iceland	Norway	Switzerland	EFTA	EU + EFTA	EU15 + EFTA
01/01/2009	18992	47690	1799	11309	7784	1017	11530	150016	189385	20247	6077	15799	158459	496	742	3157	56166	26660	8995	7110	2907	4805	59385	11299	112087	933913	870991	62922	126	5353	17831	23310	957223	894301
01/02/2009	18827	45904	2074	11928	7411	792	7165	152720	277740	15592	7217	8880	166319	453	533	4165	33936	30199	10030	9082	3301	4915	62107	14603	54359	950252	879758	70494	91	6287	17616	23994	974246	903752
01/03/2009	26477	50258	2047	13921	9819	895	10716	205823	400965	13373	9356	7762	215443	568	653	4768	34532	31107	12758	13484	6488	5598	76501	18035	313912	1485259	1401142	84117	73	7601	23664	31338	1516597	1432480
01/04/2009	35898	47641	2519	17963	9026	1164	7433	187359	379626	14376	6715	4373	189661	554	797	5875	30261	28736	12191	14884	9778	5116	67214	18249	133475	1230884	1142658	88226	71	7504	24940	32515	1263399	1175173
01/05/2009	29732	37976	2117	14240	9310	875	7222	210442	384578	25997	4512	5084	189879	447	698	4479	30857	25326	13113	13336	8469	4999	71160	18215	134858	1247921	1172902	75019	185	7421	23007	30613	1278534	1203515
01/06/2009	36090	43736	2223	16157	11272	982	7876	243621	427111	23219	5901	4808	210972	592	889	4028	35460	26856	16013	12716	10355	5401	96706	22393	176264	1441641	1359569	82072	722	7581	26805	35108	1476749	1394677
01/07/2009	32694	35906	2519	14105	9075	714	6736	194855	339976	32627	3656	3743	206335	454	560	4317	33524	24665	17151	12211	9879	5303	108221	14551	157149	1270926	1196860	74066	374	9394	24015	33783	1304709	1230643
01/08/2009	22423	30085	1971	12159	7903	599	5916	114132	275219	22845	2425	2400	85124	387	530	2579	27825	21071	10512	9607	6394	4051	58509	15542	67006	807214	748020	59194	135	7967	17973	26075	833289	774095
01/09/2009	26542	35687	1939	12142	9766	812	7177	185054	316166	11956	3189	2249	190389	387	504	3494	33623	24888	12094	9342	4783	4671	77373	19244	367929	1361400	1298743	62657	95	9530	21132	30757	1392157	1329500
01/10/2009	26694	39726	2041	14061	9971	728	7080	210941	321120	11720	3366	1530	196323	330	522	4301	35618	25250	15182	10380	4459	4907	98404	21783	168942	1235379	1169335	66044	76	10187	22900	33163	1268542	1202498
01/11/2009	25612	35136	2125	14985	9062	671	5706	217445	279725	18091	3466	520	184099	360	496	3302	27325	26949	15588	9781	3643	4515	86639	20126	158082	1153449	1086458	66991	63	9600	22018	31681	1185130	1118139
01/12/2009	19422	26449	1598	14738	11802	697	3787	229990	215564	9687	4309	305	166460	339	591	2800	8025	28499	17386	8262	4261	3686	90553	19368	150936	1039514	972534	66980	102	10250	24148	34500	1074014	1007034
