Country	Austria	Belgium	Bulgaria	Croatia	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	EU + EFTA
01/01/2017	26352	51701	1923	2833	20818	19513	2042	12746	153046	241399	6460	6420	39005	172033	1445	1827	4108	51121	38232	15028	7059	5423	5550	84515	23282	174564	1168445	1231	13055	19483	33769	1108642	1202214
01/02/2017	25311	51942	2189	2623	20455	17462	1653	9167	161874	243602	5192	8003	17090	184347	1177	1639	4042	31986	38508	18861	8302	8366	4951	97796	27735	83115	1077388	1341	11788	22686	35815	1015337	1113203
01/03/2017	36830	61066	3066	5420	26786	22773	2348	11202	226134	359683	9445	9924	19893	226780	1447	2049	5191	36590	49606	25980	6915	9038	6224	125600	38387	562337	1890714	2078	13398	30492	45968	1813859	1936682
01/04/2017	30201	51132	2717	6280	22749	17599	2344	9394	171871	290697	8452	8681	7843	160968	1417	2257	4864	29183	39582	18830	6640	7272	5579	101375	30476	152076	1190479	2054	11339	25668	39061	1124022	1229540
01/05/2017	32426	51342	2699	8124	27009	22272	2592	11058	191416	323952	10666	10956	5993	204803	1541	2350	5535	36310	39801	23653	8062	9219	5942	126411	35326	186265	1385723	3849	14175	28099	46123	1313551	1431846
01/06/2017	35441	55119	3430	6871	26634	23994	2728	10862	230926	327693	10141	10866	1401	188361	1591	2672	5206	40785	42012	24834	8030	9568	6785	131797	38324	243454	1489525	3148	14228	31883	49259	1417597	1538784
01/07/2017	27731	36627	2651	4125	19649	15195	2068	8846	147518	283080	8421	9334	27710	145938	1408	1769	4529	32433	36902	17572	11335	8022	4717	109947	24722	161997	1154246	1832	11476	24545	37853	1090119	1192099
01/08/2017	26058	35517	2572	2433	21192	15307	2079	9673	107449	253679	5134	8915	5733	83634	1470	2084	3429	29093	34584	11937	12001	7265	4237	72410	29915	76433	864233	1523	13415	22947	37885	803286	902118
01/09/2017	29528	40895	2767	2796	20219	14353	1976	9103	170645	288035	5947	9602	3898	167460	1211	2488	3968	35430	37212	14857	10425	7177	4794	83291	31672	426170	1425919	1228	13484	24496	39208	1364460	1465127
01/10/2017	28244	43500	3216	3623	23192	18542	2148	8745	176492	272855	6306	10363	1946	158373	1413	2314	4670	36491	40572	15898	10036	8447	5473	94676	32112	158192	1167839	1109	12472	24477	38058	1095100	1205897
01/11/2017	29547	39645	3352	3496	22925	18070	2106	9665	180005	302636	6523	12369	684	156700	1278	2422	4389	37588	41290	17626	9311	8279	5046	104170	32484	163541	1215147	1027	13743	26307	41077	1144350	1256224
01/12/2017	25651	28072	3227	2146	19967	16511	1534	8068	193372	253950	5428	10832	160	121100	1300	1965	2844	17528	45889	17058	6967	7900	3234	102943	34958	152473	1085077	905	16077	31072	48054	1028170	1133131
