Country	Austria	Belgium	Bulgaria	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	EU-152	EU-103	Iceland	Norway	Switzerland	EFTA	EU + EFTA	EU15 + EFTA
01/01/2011	25584	53236	1256	11692	12375	1323	13358	185521	211056	9747	3429	20998	165172	732	846	3353	74787	24528	13221	4399	4422	5562	53634	19244	128811	1048286	990097	58189	197	10372	20557	31126	1079412	1021223
01/02/2011	26412	53135	1238	12879	11552	936	8967	204400	224426	6989	3547	12569	161303	765	925	4410	49019	23458	13426	4233	4816	5445	66120	20993	63424	985387	927145	58242	130	10543	22453	33126	1018513	960271
01/03/2011	35869	63533	1618	17534	16760	1486	12016	257533	327921	8531	4454	14391	188598	873	1096	5660	56601	28396	18930	6119	6491	6073	88397	29527	366101	1564508	1490368	74140	208	12901	30285	43394	1607902	1533762
01/04/2011	33317	53300	1625	14650	13400	1538	11010	169757	266251	10191	3701	8674	158171	845	1164	5221	47637	24350	14418	8465	5694	5179	71805	28940	137746	1097049	1029838	67211	293	11330	27614	39237	1136286	1069075
01/05/2011	34393	54888	1603	15502	16545	1722	12636	197701	304543	10076	3829	9440	171642	955	1248	5696	49806	24422	14714	9684	6513	5695	78871	30853	150431	1213408	1142235	71173	1062	13005	29420	43487	1256895	1185722
01/06/2011	32018	48353	1827	16188	17005	1458	10846	210172	288382	9740	4205	11007	169936	912	1344	4256	50499	26138	17150	10335	6298	5988	83385	27485	183125	1238052	1163359	74693	1166	10354	27919	39439	1277491	1202798
01/07/2011	29307	34886	1827	12131	13053	1291	8189	160199	260907	9940	3719	4079	138510	913	1072	4529	42092	23288	14269	9012	5583	4909	78914	19621	131634	1013874	950129	63745	444	11189	25464	37097	1050971	987226
01/08/2011	25884	37788	1651	14131	12491	1427	9621	108462	237561	7297	3428	3238	70764	856	1075	3018	39062	19340	8131	7800	5190	4285	47223	24368	59346	753437	694254	59183	299	11464	21740	33503	786940	727757
01/09/2011	30755	41427	1716	13005	13806	1541	9632	167526	280689	6718	3500	2767	147021	926	1197	3466	44382	24318	9205	9120	4998	4647	55572	26605	332476	1237015	1172047	64968	283	11737	26401	38421	1275436	1210468
01/10/2011	28909	42462	1736	14877	12388	1523	9631	176103	258253	5023	3511	1566	133411	974	1180	3923	43635	24883	9137	9677	5751	4686	57278	25052	134944	1010513	941715	68798	319	11543	26802	38664	1049177	980379
01/11/2011	30339	40440	1773	15962	15028	1690	8731	179038	269144	7890	4510	778	133283	1169	1054	3707	41081	26595	9555	10185	5903	4319	60395	26894	134027	1033490	960330	73160	374	12357	28487	41218	1074708	1001548
01/12/2011	23358	48763	1382	15044	15341	1135	6534	187817	244501	5538	3261	371	111928	1060	1033	2642	17243	28221	11248	5590	6595	3405	66457	25402	119188	953057	886331	66726	263	11550	29704	41517	994574	927848
