Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA
01/01/2000	26975	57730	8535	17330	169634	234310	30515	41831	266008	2981	88909	24666	95880	16324	185040	1266668	1105	9656	21502	32263	1298931
01/02/2000	23420	57736	9906	11783	181552	273186	25779	30149	241305	4627	53660	22397	121616	20163	73735	1151014	1023	7972	23789	32784	1183798
01/03/2000	35192	62252	12541	12516	211015	386127	27460	32178	260354	5178	66735	27018	146921	29143	401996	1716626	1161	9098	33425	43684	1760310
01/04/2000	32666	52294	10417	11629	185264	275491	27763	25391	213830	4720	54935	22317	123601	25544	168200	1234062	1104	7668	31327	40099	1274161
01/05/2000	32672	51029	11906	15008	196549	351647	27989	26951	236919	4767	58125	23662	127261	32354	194113	1390952	1630	9871	33875	45376	1436328
01/06/2000	27726	43113	10327	12056	183697	292878	27369	22782	198704	3509	48437	25031	145024	26031	193360	1260044	1908	8485	28910	39303	1299347
01/07/2000	25701	36027	8678	9846	186842	276542	27398	17678	223328	3308	40943	23711	150755	19376	155108	1205241	1235	8975	26734	36944	1242185
01/08/2000	23630	31175	8166	10256	156576	251320	21732	13044	111692	2401	42239	19389	84708	21987	72708	871023	1198	7465	24218	32881	903904
01/09/2000	23217	31519	7787	9663	150191	270393	19846	9444	183109	2610	43349	15380	85637	24338	353494	1229977	1071	7161	24186	32418	1262395
01/10/2000	23907	39632	7680	9800	184721	259474	20134	6678	188092	3047	42978	17249	99635	23297	153541	1079865	848	7280	25151	33279	1113144
01/11/2000	21040	32501	7367	8019	176351	266114	20006	3521	176504	2716	40458	19381	103601	23455	162572	1063606	736	7500	19959	28195	1091801
01/12/2000	13281	20196	9380	6740	151492	240861	14231	1148	123239	2032	16857	17635	96617	28517	107803	850029	550	6245	23443	30238	880267
