Country	Austria	Belgium	Bulgaria	Croatia	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	EU + EFTA	EU-152	EU-113
01/01/2015	23427	47324	1486	2424	15727	16010	1692	10277	133170	211337	5848	4880	29781	132109	1148	1421	3205	47639	29552	11840	4978	4577	5174	68119	20408	164856	998409	678	10523	18520	29721	955071	1028130	925350	73059
01/02/2015	20641	44504	1557	2214	16383	13540	1239	7991	147584	223254	4894	5902	15762	135310	829	1069	3783	33421	28273	14307	4116	5306	4314	86719	23735	76958	923605	628	10685	22452	33765	886168	957370	852403	71202
01/03/2015	31086	55245	2192	3466	21155	19596	1993	11102	196565	323039	6529	6284	18910	162181	1233	1271	4868	28642	33343	20081	5339	6719	6040	112304	31590	492774	1603547	977	14159	31410	46546	1561058	1650093	1514512	89035
01/04/2015	29500	51423	2065	3746	20568	16942	2025	9636	170765	291395	7801	6736	9437	149692	1239	1746	5046	26996	28115	15016	5482	6532	5425	82716	30536	185778	1166358	1304	12782	28663	42749	1125428	1209107	1082679	83679
01/05/2015	26517	40502	2233	5000	18113	17036	1748	9115	143771	256385	9070	5874	6902	146267	1174	1467	4231	27758	26813	18345	5927	6596	5442	94031	29458	198706	1108481	2612	12036	27431	42079	1070173	1150560	1028094	80387
01/06/2015	30462	49426	2412	4725	21315	21330	2065	8979	225638	313539	8999	7347	1439	142199	1243	1589	4548	36838	29969	21072	8630	7455	5315	111333	32257	257817	1357941	2572	14207	32855	49634	1315510	1407575	1265876	92065
01/07/2015	26917	36121	2125	3324	21415	16228	1944	8727	147125	290196	5447	7011	27564	132473	1237	1559	4334	33820	29366	15545	9253	7080	5175	102923	24139	178420	1139468	1163	12394	29769	43326	1093305	1182794	1049979	89489
01/08/2015	22677	31252	1647	1729	18278	16157	1565	8405	92048	226314	4470	4996	6400	59584	1000	1204	2636	30838	23256	9437	7362	6785	4048	55921	26877	79060	743946	836	12604	23311	36751	708827	780697	672076	71870
01/09/2015	25966	36725	1929	2189	18056	17760	1846	8520	164769	272479	5125	6268	4766	130818	1184	1529	3376	35031	27135	12623	5752	5969	4586	69852	29653	462517	1356423	796	12421	24004	37221	1317201	1393644	1279980	76443
01/10/2015	25149	39474	2005	2482	19658	16839	1950	9178	161737	278372	4946	8189	2559	133606	1291	1572	4398	38819	29003	13719	7562	6691	5507	80055	31563	177664	1103988	807	13197	25171	39175	1057253	1143163	1018078	85910
01/11/2015	23381	36329	2184	2308	20421	17106	1611	8989	150334	272377	5859	6590	940	134790	1128	1438	3412	40344	30217	13376	8022	6953	5147	81650	31352	178876	1085134	793	12600	26015	39408	1038523	1124542	999115	86019
01/12/2015	22832	32741	2421	2108	19768	18455	1355	7925	183720	247355	6816	7094	344	110056	1060	1206	2636	68779	37336	13142	8739	7316	3491	88609	33540	180077	1108921	842	13078	32068	45988	1063015	1154909	1017027	91894
