Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Bulgaria	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Romania	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2008	21884	56846	14391	21549	162116	220742	33583	47275	233708	3982	66329	15845	101621	17033	162097	1179001	1432	9901	21642	32975	1211976	3167	14016	2706	12492	2227	2432	28375	19712	4783	6473	96383	1275384	1308359
01/02/2008	21987	55941	12953	12056	175126	228623	23292	23987	218767	4152	50326	17339	121415	21250	69610	1056824	1035	10567	21825	33427	1090251	3796	13600	2198	13332	1870	2196	28162	22651	5313	6214	99332	1156156	1189583
01/03/2008	29907	57077	12246	12625	188879	286549	22396	21451	214246	5355	47182	22045	124702	23540	451642	1519842	855	9506	23631	33992	1553834	4466	15518	2531	13967	1893	2209	30387	25060	5490	6881	108402	1628244	1662236
01/04/2008	31813	61703	16074	15494	198558	317960	28036	13263	203748	6419	42247	18449	123561	27478	175668	1280471	622	11704	29163	41489	1321960	3645	18716	2797	14620	2250	2535	28057	23171	6815	8078	110684	1391155	1432644
01/05/2008	28364	48441	14575	14218	184463	275259	24739	10135	206407	5092	45796	19757	116112	26251	179272	1198881	1206	10217	26982	38405	1237286	3745	15142	2697	13222	1851	2133	26157	23464	5903	6524	100838	1299719	1338124
01/06/2008	34713	50689	15345	12142	219753	304036	26553	7884	186257	4902	48233	20979	114960	23959	209190	1279595	1991	9670	29626	41287	1320882	3702	17466	2267	14621	1756	1911	27507	30930	6579	6858	113597	1393192	1434479
01/07/2008	22695	39242	12974	11177	182954	262534	29046	16349	193017	4811	40079	21576	121496	16902	153420	1128272	578	9605	26131	36314	1164586	3950	16385	2337	13971	1850	2070	23460	29492	7118	6814	107447	1235719	1272033
01/08/2008	18285	32954	11336	9446	103350	214386	19819	5237	77905	2918	39596	12353	58530	17721	63225	687061	429	7833	19118	27380	714441	3546	12955	1596	11223	1555	1406	20408	24454	5066	4620	86829	773890	801270
01/09/2008	22509	37838	11993	9842	160565	261384	18825	3453	177467	4053	41275	13822	65594	22777	330295	1181692	584	8453	21814	30851	1212543	3313	15260	1679	13287	1294	1525	23109	24063	5016	5553	94099	1275791	1306642
01/10/2008	25992	42998	11326	10153	174939	258814	19666	1741	169032	4488	41875	14674	77686	22299	128352	1004035	181	8390	24365	32936	1036971	3723	16167	1710	12872	1202	1727	27634	20478	6775	5859	98147	1102182	1135118
01/11/2008	19836	30381	8327	6445	145893	233772	13402	644	139413	3426	29783	15386	63122	17616	100333	827779	74	6952	20325	27351	855130	3228	14025	1120	10069	1063	1047	27126	14466	4789	4403	81336	909115	936466
01/12/2008	15712	21837	8605	4464	153686	225981	7938	188	141715	2761	7197	21164	72377	17156	108691	809472	46	7819	23935	31800	841272	3477	13304	941	9602	1020	1026	29658	13054	6393	3298	81773	891245	923045
