Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2004	23929	47012	7645	18358	154193	208212	32006	32686	220742	3392	69895	14446	98857	16019	197591	1144983	730	8202	18434	27366	1172349	8356	1378	12123	715	744	29148	2983	5031	60478	1205461	1232827
01/02/2004	19487	49700	7479	11560	155000	224092	22140	21056	207035	4332	39021	14519	120417	17681	91460	1004979	742	8326	18486	27554	1032533	11248	1095	12874	628	539	30212	3854	5586	66036	1071015	1098569
01/03/2004	32200	60965	10420	13072	197691	332962	27231	23190	249711	6209	46929	21176	154790	25187	466954	1668687	954	10961	26002	37917	1706604	12599	1445	20719	963	809	39100	5086	6674	87395	1756082	1793999
01/04/2004	33091	53261	10619	14059	173612	297126	28929	15883	208769	5792	41583	16863	125203	25494	187003	1237287	988	9405	27037	37430	1274717	13026	2050	21340	1331	1013	45069	4874	6767	95470	1332757	1370187
01/05/2004	29570	38955	9954	13319	169545	282562	24528	15414	207022	4408	38593	19457	131355	23935	194480	1203097	1196	9161	26618	36975	1240072	13032	1730	18793	904	881	26037	6486	5908	73771	1276868	1313843
01/06/2004	31636	43378	12410	13150	217766	311162	31911	13255	198272	4338	49182	19504	158897	27179	239077	1371117	1799	9262	28132	39193	1410310	14063	1278	18550	731	771	23164	4623	5486	68666	1439783	1478976
01/07/2004	28271	31083	9235	10647	168408	267620	27595	12402	208794	4010	38980	18725	167670	16703	187632	1197775	1229	9981	23101	34311	1232086	11477	1272	17739	906	707	22099	4330	5398	63928	1261703	1296014
01/08/2004	20636	29651	9089	10125	105795	220862	19491	7281	86120	2527	32257	12551	88394	17837	84996	747612	779	8165	19152	28096	775708	10391	1135	14758	949	625	20255	4780	3859	56752	804364	832460
01/09/2004	25109	33594	10422	11022	154328	274538	19782	6084	180445	3205	40658	13662	98290	22460	430763	1324362	938	9320	19739	29997	1354359	11975	1268	16368	924	782	20560	4096	4393	60366	1384728	1414725
01/10/2004	24692	38868	10477	11130	169585	281180	20106	4441	175181	4015	39418	14459	118753	22652	170866	1105823	805	10031	21080	31916	1137739	12198	1362	16651	978	814	19675	4768	4447	60893	1166716	1198632
01/11/2004	23775	33441	11345	9684	175966	284761	22003	1731	172213	3390	34599	17324	124385	23676	172094	1110387	905	10455	21229	32589	1142976	12629	1322	17421	993	818	19218	4628	4505	61534	1171921	1204510
01/12/2004	18896	24849	12395	6313	171820	281748	13969	713	150384	2616	12630	14959	130275	25423	144353	1011343	903	12376	20375	33654	1044997	12628	1101	19719	1195	990	23574	6922	3948	70077	1081420	1115074
