Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA
01/01/2002	23291	55872	7075	12132	192089	243400	27021	31074	246886	3368	70836	18960	95941	16293	205476	1249714	423	7386	22015	29824	1279538
01/02/2002	20398	52611	8132	8446	173064	233281	21403	24173	198127	4713	42523	19831	105272	18848	93515	1024337	418	7024	21768	29210	1053547
01/03/2002	29666	52851	10241	9519	198302	321840	23348	18803	211779	5278	47044	23478	127218	22936	423727	1526030	410	7068	28091	35569	1561599
01/04/2002	30320	51858	10030	11066	207891	304326	29365	15478	193976	5276	40361	18895	112838	24311	208976	1264967	530	8833	29956	39319	1304286
01/05/2002	26295	40912	11890	12709	186265	282632	23403	18455	207677	4068	44727	25972	127692	24617	208669	1245983	906	7912	29676	38494	1284477
01/06/2002	25904	37632	11206	10866	200835	308450	23003	11714	180406	3779	46950	24028	125724	22861	207330	1240688	1081	7324	29424	37829	1278517
01/07/2002	26260	34850	9190	10287	199321	282560	29109	12453	204490	3782	39902	25442	152938	17410	195637	1243631	725	8724	26696	36145	1279776
01/08/2002	18813	26145	8859	10221	121781	244287	19310	8712	100615	2191	36259	13553	79650	18618	87245	796259	567	7273	19841	27681	823940
01/09/2002	21402	31678	8755	8985	153069	266005	21154	6382	165982	2798	40883	13729	80809	22101	432661	1276393	474	6985	21730	29189	1305582
01/10/2002	24388	37702	9044	9712	188209	281057	21065	5113	192258	3565	43153	15344	111811	23249	184145	1149815	636	8089	23791	32516	1182331
01/11/2002	19338	27307	8159	8041	164789	256564	17655	2126	179355	2703	37660	13730	97469	22358	171674	1028928	425	6781	21425	28631	1057559
01/12/2002	13418	18151	9004	4893	159456	228496	12653	1642	198061	1882	20404	13130	114515	20987	144576	961268	348	5322	20652	26322	987590
