Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Bulgaria	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Romania	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2007	22430	55832	11481	16884	171651	199686	31685	45818	250311	3908	68719	14463	116423	20599	165603	1195493	968	12685	18292	31945	1227438	2534	11921	2704	13006	2601	1465	22770	14326	3501	5037	79865	1275358	1307303
01/02/2007	20544	48856	10596	10570	157671	183258	19842	26592	225695	4506	41382	14105	120522	20326	73586	978051	953	9793	18734	29480	1007531	2948	11768	2134	12388	2511	1154	22018	18704	4792	5304	83721	1061772	1091252
01/03/2007	32345	59170	14083	12734	189869	334592	27786	27883	261371	6007	51268	20880	173716	27477	449287	1688468	1182	11264	26100	38546	1727014	3664	14944	2812	15713	2783	1461	27948	26969	4896	6740	107930	1796398	1834944
01/04/2007	29415	47713	11943	12297	172621	264871	22616	16875	207777	5612	39025	16280	121685	27169	170163	1166062	1107	8854	24750	34711	1200773	3034	15061	2882	13442	2838	1538	25307	23044	4974	6412	98532	1264594	1299305
01/05/2007	28523	46961	14033	13137	172320	293484	29251	20489	248195	4598	42135	18788	153396	30016	185797	1301123	1950	12007	27025	40982	1342105	3260	16397	3230	14100	3361	2026	25761	32912	5520	6498	113065	1414188	1455170
01/06/2007	31324	49977	14766	11794	216476	301108	28326	15269	228925	4621	52575	23022	166218	26462	222863	1393726	2327	11083	31121	44531	1438257	3611	16247	3029	16193	3226	2200	25790	30337	5564	6568	112765	1506491	1551022
01/07/2007	23615	39597	13082	10446	183340	258639	27868	13092	214194	4231	39141	22554	167426	20588	176277	1214090	1486	12062	24866	38414	1252504	3541	14736	2649	15446	2856	1912	24173	31393	5433	5902	108041	1322131	1360545
01/08/2007	21329	33882	13191	11023	111249	239381	21524	8848	104860	2929	41303	11786	99664	23062	77649	821680	1360	10786	21211	33357	855037	3381	13333	2566	15133	2699	1929	20863	27181	4739	4946	96770	918450	951807
01/09/2007	22016	36611	13243	9826	148164	265473	19369	5712	186381	3483	40625	12994	96754	23806	419290	1303747	1115	9340	20762	31217	1334964	2898	12076	2211	13827	2298	1659	22753	24011	4060	5100	90893	1394640	1425857
01/10/2007	25003	46150	14256	11075	188877	281845	21088	3816	207049	4688	42251	15679	129384	28839	166797	1186797	1279	11646	24329	37254	1224051	3766	16259	2570	15341	2687	2300	24647	29347	5715	6234	108866	1295663	1332917
01/11/2007	22870	36351	14999	3377	169757	283921	19976	1443	196125	3823	38151	15917	125206	27705	158735	1118356	1365	10453	24815	36633	1154989	3963	15750	2461	14142	2621	2179	24537	29594	5213	5413	105873	1224229	1260862
01/12/2007	18768	23695	13674	2122	182548	241905	10414	488	162223	2926	8963	15348	144441	30750	137960	996225	850	9222	22683	32755	1028980	4442	15964	1664	12930	2290	1783	26738	27803	5293	4565	103472	1099697	1132452
