"Date"	"Country"	"Reg"	"Infl"	"Fuel"	"Sent"	"ST"	"LT"	"Unem"
2010-01-01	"Austria"	25498.8240229368	-0.0521349295215178	1137.33521320885	-1.64589515227346	0.591395458667776	3.43797203340006	5.03869966086222
2010-01-01	"Belgium"	45735.9857197659	0.38945934049653	1346.52290181849	-14.0974040640297	0.591395458667776	3.42714212551989	8.72866471247168
2010-01-01	"Czech.Republic"	13773.6234042262	-8.30828283688567	1198.12898200197	-8.71687749930228	1.4649684916551	4.12219535657218	7.72282209565997
2010-01-01	"Denmark"	11043.4292366611	-0.843437422348885	1394.48879935828	13.9691970975967	1.34931725031044	3.27007627762273	7.39982559060365
2010-01-01	"Finland"	8351.90444035138	-3.64399883163926	1375.07155297824	16.3760205709031	0.591395458667776	3.21057251958241	8.75428986721127
2010-01-01	"France"	185836.423064715	0.264091412727353	1290.62620946554	-19.108375025343	0.591395458667776	3.26625278904895	9.38450677685281
2010-01-01	"Germany"	229131.395537444	-0.172526494672901	1350.40960711702	-17.7732009356231	0.591395458667776	2.96375186370147	7.55513998428569
2010-01-01	"Greece"	18287.7967450569	-8.81993191687015	1253.31276394186	-54.2220281666383	0.591395458667776	5.8905804231393	11.0397592424349
2010-01-01	"Ireland"	5152.5001453272	-4.97606631953949	1255.43023234153	-23.8632133411665	0.591395458667776	3.75049026948659	13.682745773099
2010-01-01	"Italy"	185762.24334488	0.856290029085721	1322.7695089261	-20.2534805023097	0.591395458667776	3.92352769942416	8.49045797817971
2010-01-01	"Latvia"	336.955617383086	-8.73084861398026	1038.1575868479	-36.151943885919	3.34332949815115	12.8461089930388	21.1830364918986
2010-01-01	"Lithuania"	404.250884384697	-11.4831638523119	1139.27505601191	-43.5990370738494	2.24511753537361	6.44593629267323	18.14074045626
2010-01-01	"Netherlands"	41647.5823868193	-0.393780898685673	1453.50442379494	-2.2892280346694	0.591395458667776	3.21565434809419	5.08165086620647
2010-01-01	"Poland"	24703.7056749503	2.31869795906335	1094.23106971049	-16.9892314332612	4.01586347444853	5.77530754187933	9.90672195560981
2010-01-01	"Slovakia"	4286.27574937401	-11.3668452577703	1191.90683560241	-18.5801461010567	0.591395458667776	3.9139955045241	15.1160725295565
2010-01-01	"Slovenia"	5051.25659090951	-7.05431729332575	1155.56087542375	-22.9140683808216	0.591395458667776	3.97180672594213	6.62768388681463
2010-01-01	"Spain"	94720.3958056389	-3.98813478423743	1105.09497717394	-20.3200336083875	0.591395458667776	3.77951710748839	19.3303802917711
2010-01-01	"Sweden"	22115.3474381278	3.83587818278382	1245.44982099549	20.9423092437126	-0.0931303912712774	2.98602763826652	9.06560850489727
2010-01-01	"United.Kingdom"	177212.308030535	4.95341428677959	1289.98427336551	-3.3660593936421	0.566208584330577	3.9517065018381	7.88430204386031
2010-02-01	"Austria"	25858.689661007	-0.197760659736646	1147.27025776799	-0.508575097797632	0.630334055341363	3.40051939985052	5.00774514309325
2010-02-01	"Belgium"	45772.6995322041	0.383907107838277	1357.0213580841	-12.8321486269435	0.630334055341363	3.43390109112923	8.65049709507603
2010-02-01	"Czech.Republic"	13831.9549491736	-8.51114046890146	1209.36009899945	-9.00825106576821	1.43665974754177	4.0812305289509	7.64569133925758
2010-02-01	"Denmark"	11338.0668312559	-0.819574319806505	1403.41095483777	13.8742065462477	1.33013870785273	3.20736698257583	7.41481180678941
2010-02-01	"Finland"	8479.7195429157	-3.16994203170559	1384.7730431972	16.936533627251	0.630334055341363	3.17514101689662	8.68518988157016
2010-02-01	"France"	186118.822081891	0.209285760233105	1300.57618025474	-19.0960411488257	0.630334055341363	3.24009540304024	9.36217753065506
2010-02-01	"Germany"	231582.392064864	-0.171462688882285	1358.26305159833	-15.2145040240844	0.630334055341363	2.92463263258995	7.44499573298968
2010-02-01	"Greece"	17122.9658329657	-7.67529543525256	1286.64282965826	-55.8881886295895	0.630334055341363	6.45656451828872	11.3551546668846
2010-02-01	"Ireland"	5524.00849257123	-5.03217938238212	1264.47146356721	-24.6688994099262	0.630334055341363	4.14244462916578	13.83284335083
2010-02-01	"Italy"	181561.247827273	0.852694692567757	1330.840812744	-20.5315793828219	0.630334055341363	3.94646767124664	8.46315978317985
2010-02-01	"Latvia"	371.578594492946	-8.44118562031355	1047.81829155853	-34.9751382681204	3.09734661193261	12.3710227855275	20.8731666095666
2010-02-01	"Lithuania"	449.063930005125	-11.022715074598	1146.7010316711	-41.5899307266865	2.16066033012067	6.27960449306781	18.0912772297674
2010-02-01	"Netherlands"	41693.719153917	-0.41382398579442	1461.39708658546	-1.87082951046659	0.630334055341363	3.17527557664459	5.06813343083722
2010-02-01	"Poland"	25161.2200993164	1.99416077803229	1102.29370001374	-17.2743421931275	4.00091082668913	5.77746856087684	9.86103400169801
2010-02-01	"Slovakia"	4461.13301041951	-11.4618268092397	1202.86481508995	-18.9313806039872	0.630334055341363	3.90630549063208	15.0060526052815
2010-02-01	"Slovenia"	5063.15302769059	-7.50327443807876	1163.92582460764	-23.1563749887053	0.630334055341363	3.95072934417817	6.74524897951794
2010-02-01	"Spain"	92406.7804509603	-3.74624148898172	1115.95803343776	-20.4623395982345	0.630334055341363	3.86474855459944	19.4333370866427
2010-02-01	"Sweden"	22476.0500737198	3.83317342393121	1263.26383901074	21.5389297114629	0.0139692585695699	2.9675296921521	8.97643986387586
2010-02-01	"United.Kingdom"	175718.874072237	5.06196881475642	1304.39633199236	-4.88459824924897	0.589740125029316	3.89468884289635	7.86926529570443
