"Country"	"Date"	"Fuel"	"Price"	"Reg"
"Austria"	2009-05-01	"Diesel"	946	29732
"Austria"	2009-06-01	"Diesel"	988.6	36090
"Austria"	2009-06-01	"Super"	1102.8	36090
"Austria"	2009-07-01	"Diesel"	984.5	32694
"Austria"	2009-07-01	"Super"	1082	32694
"Austria"	2009-08-01	"Diesel"	1008.6	22423
"Austria"	2009-08-01	"Super"	1109	22423
"Austria"	2009-09-01	"Diesel"	985.25	26542
"Austria"	2009-09-01	"Super"	1082.75	26542
"Austria"	2009-10-01	"Super"	1066.75	26694
"Austria"	2009-10-01	"Diesel"	982.75	26694
"Austria"	2009-11-01	"Diesel"	1022.6	25612
"Austria"	2009-11-01	"Super"	1112.8	25612
"Austria"	2009-12-01	"Diesel"	1015.33333333333	19422
"Austria"	2009-12-01	"Super"	1104	19422
"Austria"	2010-01-01	"Super"	1122.5	20882
"Austria"	2010-01-01	"Diesel"	1029.75	20882
"Austria"	2010-02-01	"Diesel"	1005.25	21786
"Austria"	2010-02-01	"Super"	1100.5	21786
"Austria"	2010-03-01	"Super"	1171	33270
"Austria"	2010-03-01	"Diesel"	1070.6	33270
"Austria"	2010-04-01	"Super"	1222.33333333333	31723
"Austria"	2010-04-01	"Diesel"	1126.33333333333	31723
"Austria"	2010-05-01	"Diesel"	1128.6	29057
"Austria"	2010-05-01	"Super"	1219.6	29057
"Austria"	2010-06-01	"Super"	1210	32957
"Austria"	2010-06-01	"Diesel"	1126.25	32957
"Austria"	2010-07-01	"Diesel"	1109.75	28977
"Austria"	2010-07-01	"Super"	1197.75	28977
"Austria"	2010-08-01	"Super"	1190	24693
"Austria"	2010-08-01	"Diesel"	1111.6	24693
"Austria"	2010-09-01	"Diesel"	1118	28115
"Austria"	2010-09-01	"Super"	1193.75	28115
"Austria"	2010-10-01	"Super"	1190	28713
"Austria"	2010-10-01	"Diesel"	1120.25	28713
"Austria"	2010-11-01	"Diesel"	1140	28024
"Austria"	2010-11-01	"Super"	1202.5	28024
"Austria"	2010-12-01	"Diesel"	1187	20366
"Austria"	2010-12-01	"Super"	1249.66666666667	20366
"Austria"	2011-01-01	"Super"	1287.2	25584
"Austria"	2011-01-01	"Diesel"	1254.6	25584
"Austria"	2011-02-01	"Super"	1302.75	26412
"Austria"	2011-02-01	"Diesel"	1286.25	26412
"Austria"	2011-03-01	"Diesel"	1348.25	35869
"Austria"	2011-03-01	"Super"	1352.25	35869
"Austria"	2011-04-01	"Diesel"	1356	33317
"Austria"	2011-04-01	"Super"	1381	33317
"Austria"	2011-05-01	"Diesel"	1325.6	34393
"Austria"	2011-05-01	"Super"	1396	34393
"Austria"	2011-06-01	"Diesel"	1318.75	32018
"Austria"	2011-06-01	"Super"	1369.25	32018
"Austria"	2011-07-01	"Super"	1372.75	29307
"Austria"	2011-07-01	"Diesel"	1329.25	29307
"Austria"	2011-08-01	"Super"	1363.75	25884
"Austria"	2011-08-01	"Diesel"	1321	25884
"Austria"	2011-09-01	"Diesel"	1340	30755
"Austria"	2011-09-01	"Super"	1390.25	30755
"Austria"	2011-10-01	"Diesel"	1346	28909
"Austria"	2011-10-01	"Super"	1364.8	28909
"Austria"	2011-11-01	"Diesel"	1382	30339
"Austria"	2011-11-01	"Super"	1367	30339
"Austria"	2011-12-01	"Super"	1352.66666666667	23358
"Austria"	2011-12-01	"Diesel"	1373	23358
"Austria"	2012-01-01	"Diesel"	1391.5	26826
"Austria"	2012-01-01	"Super"	1389.75	26826
"Austria"	2012-02-01	"Super"	1418.25	24005
"Austria"	2012-02-01	"Diesel"	1408.5	24005
"Austria"	2012-03-01	"Diesel"	1437.5	37933
"Austria"	2012-03-01	"Super"	1474.5	37933
"Austria"	2012-04-01	"Super"	1513.25	32728
"Austria"	2012-04-01	"Diesel"	1434	32728
"Austria"	2012-05-01	"Diesel"	1397.25	32398
"Austria"	2012-05-01	"Super"	1450	32398
"Austria"	2012-06-01	"Diesel"	1352.5	33068
"Austria"	2012-06-01	"Super"	1411.5	33068
"Austria"	2012-07-01	"Diesel"	1369.2	28268
"Austria"	2012-07-01	"Super"	1426	28268
"Austria"	2012-08-01	"Super"	1489.25	24570
"Austria"	2012-08-01	"Diesel"	1431.5	24570
"Austria"	2012-09-01	"Diesel"	1451.5	27094
"Austria"	2012-09-01	"Super"	1525.75	27094
"Austria"	2012-10-01	"Diesel"	1437	26322
"Austria"	2012-10-01	"Super"	1481	26322
"Austria"	2012-11-01	"Diesel"	1414.5	24377
"Austria"	2012-11-01	"Super"	1406	24377
"Austria"	2012-12-01	"Super"	1397	18421
"Austria"	2012-12-01	"Diesel"	1395.33333333333	18421
"Austria"	2013-01-01	"Super"	1401	27761
"Austria"	2013-01-01	"Diesel"	1377	27761
"Austria"	2013-02-01	"Diesel"	1398.25	21196
"Austria"	2013-02-01	"Super"	1442.5	21196
"Austria"	2013-03-01	"Diesel"	1363.5	31067
"Austria"	2013-03-01	"Super"	1405.5	31067
"Austria"	2013-04-01	"Super"	1386.25	30807
"Austria"	2013-04-01	"Diesel"	1343.5	30807
"Austria"	2013-05-01	"Diesel"	1336	29094
"Austria"	2013-05-01	"Super"	1383	29094
"Austria"	2013-06-01	"Diesel"	1340	31279
"Austria"	2013-06-01	"Super"	1393	31279
"Austria"	2013-07-01	"Diesel"	1355.2	28543
"Austria"	2013-07-01	"Super"	1413.6	28543
"Austria"	2013-08-01	"Super"	1414.25	23063
"Austria"	2013-08-01	"Diesel"	1356.5	23063
"Austria"	2013-09-01	"Super"	1406.6	25301
"Austria"	2013-09-01	"Diesel"	1377.2	25301
"Austria"	2013-10-01	"Diesel"	1349.75	26743
"Austria"	2013-10-01	"Super"	1356.75	26743
"Austria"	2013-11-01	"Diesel"	1335.25	23350
"Austria"	2013-11-01	"Super"	1340.5	23350
"Austria"	2013-12-01	"Super"	1354.66666666667	20831
"Austria"	2013-12-01	"Diesel"	1349.33333333333	20831
"Austria"	2014-01-01	"Diesel"	1329.25	23990
"Austria"	2014-01-01	"Super"	1339.75	23990
"Austria"	2014-02-01	"Diesel"	1331.5	27589
"Austria"	2014-02-01	"Super"	1346.25	27589
"Austria"	2014-03-01	"Diesel"	1321.4	29702
"Austria"	2014-03-01	"Super"	1344	29702
"Austria"	2014-04-01	"Super"	1359.66666666667	29240
"Austria"	2014-04-01	"Diesel"	1315.33333333333	29240
